bc-7 100 Mile House, BC
bc-81 Abbotsford, BC
bc-70 Agassiz, BC
ab-12 Airdrie, AB
nt-13 Aklavik, NT
qc-36 Akulivik, QC
nu-22 Alert, NU
on-122 Alexandria, ON
on-1 Algonquin Park (Brent), ON
on-29 Algonquin Park (Lake of Two Rivers), ON
on-114 Alliston, ON
qc-144 Alma, QC
mb-3 Altona, MB
ns-33 Amherst, NS
qc-168 Amos, QC
qc-146 Amqui, QC
ns-2 Annapolis Royal, NS
ns-3 Antigonish, NS
on-30 Apsley, ON
nu-10 Arctic Bay, NU
on-111 Armstrong, ON
mb-21 Arnes, MB
nu-20 Arviat, NU
qc-38 Asbestos, QC
sk-51 Assiniboia, SK
ab-10 Athabasca, AB
on-148 Atikokan, ON
bc-67 Atlin, BC
on-164 Attawapiskat, ON
qc-117 Aupaluk, QC
ns-37 Baccaro Point, NS
mb-43 Bachelors Island, MB
ns-4 Baddeck, NS
nl-34 Badger, NL
qc-161 Bagotville, QC
qc-160 Baie-Comeau, QC
qc-69 Baie-James, QC
qc-165 Baie-Saint-Paul, QC
nu-14 Baker Lake, NU
on-102 Bancroft, ON
ab-49 Banff, AB
ab-2 Barrhead, AB
on-151 Barrie, ON
on-133 Barry&#39;s Bay, ON
nb-22 Bas-Caraquet, NB
nb-28 Bathurst, NB
nl-43 Bay Roberts, NL
qc-50 B&eacute;cancour, QC
qc-48 Beauceville, QC
qc-49 Beauharnois, QC
yt-15 Beaver Creek, YT
ns-36 Beaver Island, NS
ab-57 Beaverlodge, AB
bc-94 Bella Bella, BC
bc-18 Bella Coola, BC
on-3 Belleville, ON
mb-54 Berens River, MB
qc-51 Berni&egrave;res, QC
qc-25 Berthierville, QC
sk-2 Biggar, SK
on-124 Big Trout Lake, ON
mb-33 Bissett, MB
qc-52 Blainville, QC
qc-163 Blanc-Sablon, QC
on-21 Blind River, ON
mb-37 Bloodvein, MB
bc-22 Blue River, BC
qc-53 Boisbriand, QC
qc-54 Bonaventure, QC
nl-14 Bonavista, NL
nb-1 Bouctouche, NB
ab-43 Bow Island, AB
ab-42 Bow Valley (Provincial Park), AB
on-9 Bracebridge, ON
on-4 Brampton, ON
mb-52 Brandon, MB
on-86 Brantford, ON
ab-36 Breton, AB
ns-5 Bridgetown, NS
ns-6 Bridgewater, NS
ns-27 Brier Island, NS
sk-48 Broadview, SK
mb-53 Brochet, MB
on-8 Brockville, ON
ab-58 Brooks, AB
nl-4 Buchans, NL
sk-39 Buffalo Narrows, SK
nl-31 Burgeo, NL
on-31 Burk&#39;s Falls, ON
on-95 Burlington, ON
bc-43 Burns Lake, BC
yt-7 Burwash Landing, YT
bc-55 Cache Creek, BC
on-32 Caledon, ON
ab-52 Calgary, AB
ab-61 Calgary (Olympic Park), AB
nu-15 Cambridge Bay, NU
on-81 Cambridge, ON
bc-19 Campbell River, BC
nb-2 Campbellton, NB
nl-2 Campbellton, NL
ab-18 Camrose, AB
qc-55 Candiac, QC
ab-3 Canmore, AB
sk-3 Canora, SK
qc-120 Cap Chat, QC
nu-2 Cape Dorset, NU
ns-41 Cape George, NS
nl-28 Cape Race, NL
mb-35 Carberry, MB
yt-2 Carcross, YT
ab-64 Cardston, AB
ns-34 Caribou, NS
qc-56 Carignan, QC
qc-57 Carleton-sur-Mer, QC
sk-4 Carlyle, SK
yt-17 Carmacks, YT
mb-65 Carman, MB
nl-47 Cartwright Junction (Trans-Labrad>
nl-32 Cartwright, NL
bc-6 Cassiar, BC
bc-21 Castlegar, BC
qc-58 Chambly, QC
qc-D4 Chandler, QC
nl-17 Channel-Port aux Basques, NL
on-91 Chapleau, ON
qc-119 Charlevoix, QC
nb-30 Charlo, NB
pe-5 Charlottetown, PE
on-11 Chatham-Kent, ON
ns-38 Ch&eacute;ticamp, NS
qc-59 Chelsea, QC
nu-17 Chesterfield, NU
bc-23 Chetwynd, BC
qc-152 Chevery, QC
qc-121 Chibougamau, QC
bc-24 Chilliwack, BC
nb-3 Chipman, NB
nl-21 Churchill Falls, NL
mb-42 Churchill, MB
nl-1 Clarenville, NL
ab-60 Claresholm, AB
bc-12 Clearwater, BC
bc-91 Clinton, BC
nu-18 Clyde River, NU
qc-60 Coaticook, QC
on-75 Cobourg, ON
ab-1 Cochrane, AB
on-33 Cochrane, ON
ab-23 Cold Lake, AB
on-150 Collingwood, ON
sk-30 Collins Bay, SK
nt-26 Colville Lake, NT
bc-61 Comox, BC
qc-46 Contrecoeur, QC
nu-9 Coral Harbour, NU
nl-41 Corner Brook, NL
on-152 Cornwall, ON
sk-42 Coronach, SK
ab-59 Coronation, AB
bc-92 Courtenay, BC
qc-61 Cowansville, QC
bc-77 Cranbrook, BC
bc-26 Creston, BC
ab-17 Crowsnest, AB
bc-95 Cummins Lakes (Provincial Park), BC
sk-29 Cypress Hills (Provincial Park), SK
nb-26 Dalhousie, NB
nl-33 Daniel&#39;s Harbour, NL
mb-58 Dauphin, MB
bc-25 Dawson Creek, BC
yt-6 Dawson, YT
bc-14 Dease Lake, BC
on-83 Deep River, ON
nl-39 Deer Lake, NL
mb-49 Deerwood, MB
nt-22 Deline, NT
qc-62 Delson, QC
mb-40 Delta, MB
yt-4 Dempster (Highway), YT
nt-1 Detah, NT
qc-63 Deux-Montagnes, QC
ns-20 Digby, NS
nb-4 Doaktown, NB
qc-64 Dolbeau-Mistassini, QC
bc-8 Dome Creek, BC
mb-2 Dominion City, MB
qc-65 Donnacona, QC
on-34 Dorion, ON
ab-48 Drayton Valley, AB
ab-62 Drumheller, AB
qc-2 Drummondville, QC
on-72 Dryden, ON
bc-97 Duncan, BC
on-35 Dunchurch, ON
on-36 Dundalk, ON
on-167 Ear Falls, ON
on-136 Earlton, ON
sk-45 Eastend, SK
pe-6 East Point, PE
ns-7 Economy, NS
ab-50 Edmonton, AB
ab-71 Edmonton (Int&#39;l Aprt), AB
nb-32 Edmundston, NB
ab-72 Edson, AB
nt-14 Ekati (Lac de Gras), NT
